 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
417	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	6.44E-05	1	0.958	1364	8041	0.23	0.177	1.689	0.992	0.008	22.292	4.076	5.514	0.955	1
418	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.07	0.656	0.929	1455	1163	0.211	0.157	12.74	1	7.12E-73	215.408	26.814	37.58	5.814	1
419	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.409	0.705	0.987	563	9854	0.342	0.538	52.034	1	0	241.48	45.554	28.737	14.069	1
420	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	0.31	1	0.995	868	21276	0.44	0.443	10.657	1	1.26E-51	28.534	7.576	7.433	3.168	1
421	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.231	0.614	0.974	487	3195	0.345	0.338	29.769	1	0	212.947	40.148	40.575	13.207	1
422	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.191	0.564	0.975	590	5057	0.156	0.361	23.715	1	6.85E-247	243.441	31.593	15.397	4.998	1
423	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(9).tif T1	combine	Otsu	Otsu	TRUE	0.194	1	0.988	693	11539	0.354	0.375	3.747	1	5.80E-08	15.076	3.882	3.743	1.364	1
424	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.088	0.51	0.96	590	1525	0.19	0.175	8.14	1	5.79E-31	228.365	26.666	31.433	5.267	1
425	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	TRUE	0.367	0.56	0.986	629	4423	0.251	0.611	45.293	1	0	188.599	28.527	11.174	6.243	1
426	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	TRUE	0.303	1	0.996	1046	10109	0.417	0.456	5.184	1	1.14E-13	11.093	3.152	2.922	1.262	1
