label,Area,id_gh2ax,id_ku80,id_fak,id_dapi,tto
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_67.tiff,2.703,100407.434,46575.493,49813.192,157016.648,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_68.tiff,3.2,159391.106,60809.97,56188.915,220196.594,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_69.tiff,3.593,269648.603,81629.845,81463.661,220235.163,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_7.tiff,3.911,185686.871,98962.072,82312.386,270477.522,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_70.tiff,3.864,204436.412,81780.337,83133.98,208091.66,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_71.tiff,5.093,364629.015,110716.348,107379.948,294569.598,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_72.tiff,3.075,175223.979,59947.907,65901.506,194757.369,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_73.tiff,2.295,86529.89,44358.627,39556.379,136376.419,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_74.tiff,2.7,146592.907,55863.093,53398.983,157867.84,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_75.tiff,2.651,164499.6,61367.51,51009.855,160359.144,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_76.tiff,3.738,267925.006,92139.336,89137.675,309247.062,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_77.tiff,6.129,347355.416,119374.721,118411.31,348235.898,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_78.tiff,2.582,136742.629,59796.216,55283.813,184134.503,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_79.tiff,7.16,487995.437,135296.622,151183.903,440393.24,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_8.tiff,4.059,237211.624,81065.919,77855.238,255490.197,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_80.tiff,3.144,160905.817,61084.923,55617.832,185155.317,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_81.tiff,4.715,239616.341,113921.701,97553.837,315396.585,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_82.tiff,6.362,424476.081,135818.711,137524.895,405271.87,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_83.tiff,2.853,126008.726,46109.242,43266.574,157867.781,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_84.tiff,5.502,257306.757,127172.107,107976.118,364039.597,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_85.tiff,3.488,193641.509,78994.459,82409.759,240328.653,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_86.tiff,4.563,286159.777,85137.027,88964.841,255905.652,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_87.tiff,2.7,144171.878,47277.789,51431.04,158143.339,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_9.tiff,5.478,290355.326,98638.915,92728.375,295204.591,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_0.tiff,2.27,25280.096,34403.084,25117.679,104542.588,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_1.tiff,2.391,19800.552,33188.22,23742.717,87323.523,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_2.tiff,2.424,18650.583,34390.787,29979.03,102115.72,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_1(6).tifnucleo_0-roi_3.tiff,2.7,26965.693,29786.868,30758.667,103072.663,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_0.tiff,2.744,22428.957,45111.737,39887.47,14397.586,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_1.tiff,4.678,36683.074,66086.498,70020.481,19286.297,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_10.tiff,2.695,15943.939,36766.284,41173.411,11068.141,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_2.tiff,4.73,36696.623,66785.761,77089.164,23426.266,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_3.tiff,2.794,13036.686,33597.579,40608.075,17549.534,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_4.tiff,7.073,58366.462,76514.916,97294.946,38798.914,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_5.tiff,3.056,23617.687,46077.617,52069.048,27534.467,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_6.tiff,2.343,14648.15,30699.934,39573.36,20764.802,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_7.tiff,3.031,25882.924,30908.664,46368.466,17565.53,doxdmso
