n,tto n,tto,Label,Area,Mean,IntDen ku80,IntDengh2ax,Md Mean ku80,Md Mean gh2ax,CTCF ku80,CTCF gh2ax
113,56,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.cziku80:0002-0880,87.748,1261.609,110704.246,319602.702,288.609,133.951,85379.38347,307848.7697
114,57,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.cziku80:0003-1603,197.716,1218.775,240971.758,854585.941,288.609,133.951,183909.141,828101.6851
115,58,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.cziku80:0004-1678,153.808,1108.223,170453.342,362228.939,288.609,133.951,126062.9689,341626.2036
116,1,dox_scramble,(16)Dox-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0001-1193,82.122,13604.991,1117274.799,1885097.482,663.5706667,94.81933333,1062781.049,1877310.729
117,2,dox_scramble,(16)Dox-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0002-1250,119.555,8717.127,1042172.369,1287742.077,663.5706667,94.81933333,962839.1779,1276405.952
118,3,dox_scramble,(16)Dox-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0003-1657,86.891,11621.615,1009811.93,1666753.663,663.5706667,94.81933333,952153.6112,1658514.716
119,4,dox_scramble,(14)Dox-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0001-0888,170.122,5030.021,855719.565,381957.261,432.3623333,41.605,782165.2201,374879.3352
120,5,dox_scramble,(14)Dox-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0002-1601,250.201,5500.319,1376186.007,1391267.311,432.3623333,41.605,1268008.519,1380857.698
121,6,dox_scramble,(12)Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0001-0498,137.491,7558.81,1039268.111,4169695.155,438.361,210.0346667,978997.4187,4140817.279
122,7,dox_scramble,(12)Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0002-1339,144.966,7119.333,1032063.899,5076141.276,438.361,210.0346667,968516.4583,5045693.391
123,8,dox_scramble,(12)Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0003-2232,120.99,4937.125,597343.661,3668866.159,438.361,210.0346667,544306.3636,3643454.065
124,9,dox_scramble,(11)Dox-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0001-0605,188.889,10279.779,1941742.127,2154732.443,606.8493333,68.45933333,1827114.963,2141801.228
125,10,dox_scramble,(11)Dox-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0002-1668,156.612,8569.571,1342101.565,2245770.895,606.8493333,68.45933333,1247061.677,2235049.342
126,11,dox_scramble,(10)Dox-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0001-1455,140.937,2637.92,371780.722,2298168.237,137.4946667,86.19166667,352402.6362,2286020.642
127,12,dox_scramble,(10)Dox-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0002-2184,247.718,2704.203,669878.703,6010477.505,137.4946667,86.19166667,635818.7992,5989126.278
128,13,dox_scramble,(9)Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0001-0513,188.937,9173.662,1733246.866,2898298.503,426.194,143.7393333,1652723.05,2871140.825
129,14,dox_scramble,(9)Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0002-0658,208.726,11011.667,2298423.095,3046672.225,426.194,143.7393333,2209465.326,3016670.089
130,15,dox_scramble,(9)Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0003-2021,233.219,7257.722,1692638.919,3466395.55,426.194,143.7393333,1593242.381,3432872.806
131,16,dox_scramble,(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0001-0653,220.496,6656.353,1467699.007,7400215.558,257.3076667,146.1986667,1410963.696,7367979.337
132,17,dox_scramble,(12)Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0002-1975,225.941,4440.9,1003382.024,4015443.2,257.3076667,146.1986667,945245.6725,3982410.927
133,18,dox_scramble,(12)Dox-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0001-0517,208.729,5545.494,1157507.099,1703538.037,396.6136667,89.06133333,1074722.325,1684948.354
134,19,dox_scramble,(10)Dox-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0001-0452,174.205,11373.502,1981318.393,1962802.788,594.939,53.733,1877677.045,1953442.231
135,20,dox_scramble,(10)Dox-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.cziku80:0002-2076,144.568,8310.415,1201421.928,1923229.311,594.939,53.733,1115412.787,1915461.239
136,21,dox_scramble,(11)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0001-0259,158.171,4977.384,787276.535,1970935.591,434.3883333,135.1226667,718568.8979,1949563.104
137,22,dox_scramble,(11)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0002-1257,145.96,4218.122,615677.868,1558059.926,434.3883333,135.1226667,552274.5469,1538337.422
138,23,dox_scramble,(11)Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment-1.cziku80:0003-1895,207.093,4674.38,968031.688,5165779.179,434.3883333,135.1226667,878072.9049,5137796.221
139,24,dox_scramble,(12)Dox-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment-1.cziku80:0001-1252,272.745,4998.338,1363270.774,10917687.37,448.083,172.8663333,1241058.376,10870538.94
140,25,dox_scramble,(13)Dox-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0001-1138,203.392,8778.021,1785381.392,9358962.697,455.079,263.276,1692821.964,9305414.465
141,26,dox_scramble,(13)Dox-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.cziku80:0002-1583,168.081,7255.972,1219589.493,6240679.289,455.079,263.276,1143099.36,6196427.596
142,27,dox_scramble,(15)Dox-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.cziku80:0001-1450,211.25,8580.045,1812536.303,6057780.077,637.895,111.068,1677780.984,6034316.962
143,28,dox_scramble,(15)Dox-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment-1.cziku80:0002-1441,247.674,9308.905,2305573.63,6656119.263,637.895,111.068,2147583.624,6628610.607
144,29,dox_scramble,(14)Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment-1.cziku80:0001-0432,180.334,4700.543,847667.52,5914114.175,377.3426667,208.0213333,779619.8075,5876600.856
145,30,dox_scramble,(14)Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment-1.cziku80:0002-0612,167.45,4552.143,762255.411,5293609.604,377.3426667,208.0213333,699069.3815,5258776.432
146,31,dox_scramble,(14)Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment-1.cziku80:0003-0742,143.977,6004.256,864473.15,4570290.449,377.3426667,208.0213333,810144.4849,4540340.161
147,32,dox_scramble,(14)Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment-1.cziku80:0004-1912,202.174,4866.368,983852.551,7206176.643,377.3426667,208.0213333,907563.6747,7164120.138
