index novo,tratamento,index novo,label,area,ctcf fak,ctcf ku80,ctcf gammah2ax
70,doxo12h,26,(10)doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo0,334.127,1927738.512,3716999.642,7225207.148
71,doxo12h,27,(10)doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment-1.czifak:nucleo1,304.88,1643941.787,2609805.894,4568421.371
72,doxo12h,28,(15)doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czifak:nucleo0,273.806,1064671.334,2657586.69,1416734.669
73,doxo12h,29,(15)doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czifak:nucleo1,231.055,1298641.11,2312434.787,1728552.582
74,doxo12h,30,(15)doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czifak:nucleo2,292.628,1552995.494,1450903.515,1171208.633
75,doxo12h,31,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment-1.czifak:nucleo0,295.227,2435730.379,1963577.289,1153754.243
76,doxo12h,32,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment-1.czifak:nucleo1,253.977,1621207.728,1910294.419,768392.002
77,doxo12h,33,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment-1.czifak:nucleo0,345.949,1614742.911,2705056.827,887590.9248
78,doxo12h,34,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment-1.czifak:nucleo1,296.438,1268750.406,2001449.751,586808.4539
79,doxo12h,35,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment-1.czifak:nucleo0,351.853,4146464.263,3947415.019,21860166.87
80,doxo12h,36,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment-1.czifak:nucleo1,290.958,2300976.816,2645298.097,2790093.365
81,doxo12h,37,(10)doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment-1.czifak:nucleo0,285.483,1759826.381,2150459.321,4492258.238
82,doxo12h,38,(10)doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment-1.czifak:nucleo1,236.356,979381.6869,1895823.476,2243510.69
83,doxo12h,39,(10)doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment-1.czifak:nucleo0,420.739,3790592.339,4871625.115,10485194.29
84,doxo12h,40,(10)doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment-1.czifak:nucleo2,244.67,1170256.967,1669808.474,928075.4511
85,doxo12h,41,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment-1.czifak:nucleo0,228.822,939144.1848,2711759.879,1145057.17
86,doxo12h,42,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment-1.czifak:nucleo1,497.455,3746218.854,3592911.875,9477480.183
