index,index_original,tto,Label,Area,media bc fak,media bc ku80,media bc gh2ax,intden fak,intden ku80,intden gh2ax,RawIntDen fak,RawIntDen ku80,RawIntDen gh2ax,fak CTCF,Column1,ku80 CTCF,Column2,gh2ax CTCF,Column3
66,412,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-14_Out_Channel Alignment-1.czifak:nucleo0,236.652,924.1693333,433.5153333,478.1836667,3901347.066,6123571.52,1245983.71,3752916739,5890594625,1198579117,5904864.999,5904864.999,6020979.249,6020979.249,1132820.589,1132820.589
67,413,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-14_Out_Channel Alignment-1.czifak:nucleo1,237.294,924.1693333,433.5153333,478.1836667,3569501.619,5840950.125,774885.125,3433696656,5618725820,745403910,5621650.287,5621650.287,5738079.537,5738079.537,661415.01,661415.01
68,414,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-14_Out_Channel Alignment-1.czifak:nucleo2,282.798,924.1693333,433.5153333,478.1836667,4967838.202,6440975.009,1806624.002,4778832241,6195922207,1737889335,6179621.77,6179621.77,6318377.74,6318377.74,1671394.617,1671394.617
69,415,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-14_Out_Channel Alignment-1.czifak:nucleo3,252.11,924.1693333,433.5153333,478.1836667,4182213.303,5368365.941,2205500.113,4023097162,5164121535,2121589838,5135373.61,5135373.61,5259072.39,5259072.39,2084945.229,2084945.229
70,433,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-15_Out_Channel Alignment-1.czifak:nucleo0,214.672,1541.569,295.368,261.9613333,3822473.807,2294863.131,553676.944,3677044285,2207552958,532611797,1963931.431,1963931.431,2231455.892,2231455.892,497441.1807,497441.1807
71,434,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-15_Out_Channel Alignment-1.czifak:nucleo1,377.273,1541.569,295.368,261.9613333,7399373.747,3575700.365,2334568.939,7117857786,3439659565,2245748123,2994108.004,2994108.004,3464265.994,3464265.994,2235738.001,2235738.001
72,435,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-15_Out_Channel Alignment-1.czifak:nucleo2,326.847,1541.569,295.368,261.9613333,8342720.03,4178808.214,3892308.515,8025313595,4019821623,3744222068,3674951.011,3674951.011,4082268.069,4082268.069,3806687.239,3806687.239
73,436,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-15_Out_Channel Alignment-1.czifak:nucleo3,331.372,1541.569,295.368,261.9613333,7449104.048,3504332.043,2600643.044,7165696052,3371006516,2501699194,2993499.24,2993499.24,3406455.358,3406455.358,2513836.393,2513836.393
74,454,Dox 12 PF 12,(8)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-16_Out_Channel Alignment-1.czifak:nucleo0,305.38,1506.613333,431.3723333,132.3506667,6743558.4,5995950.474,1178290.833,6486993536,5767829039,1133461678,5535860.894,5535860.894,5864217.991,5864217.991,1137873.586,1137873.586
75,455,Dox 12 PF 12,(8)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-16_Out_Channel Alignment-1.czifak:nucleo1,241.81,1506.613333,431.3723333,132.3506667,4636913.056,3660303.106,478524.302,4460497446,3521043517,460318406,3295988.936,3295988.936,3555992.962,3555992.962,446520.5873,446520.5873
76,456,Dox 12 PF 12,(8)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-16_Out_Channel Alignment-1.czifak:nucleo2,264.838,1506.613333,431.3723333,132.3506667,6212659.525,4905396.34,845782.419,5976293195,4718766037,813603851,4506387.878,4506387.878,4791152.554,4791152.554,810730.9331,810730.9331
