label	max_9000	sum_9000
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(8).tif	24	235
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_1(8).tif	1	202
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_2(8).tif	7	218
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_3(8).tif	1	78
Dox-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.tif_nucleo_0(14).tif	75	984
Dox-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.tif_nucleo_1(13).tif	164	444
Dox-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment-1.tif_nucleo_2(14).tif	121	326
Dox-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(9).tif	171	547
Dox-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(9).tif	134	659
Dox-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_2(9).tif	84	335
Dox-siFAK-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_0(10).tif	184	570
Dox-siFAK-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_1(10).tif	123	583
Dox-siFAK-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_2(10).tif	67	262
Dox-siFAK-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_0(12).tif	65	605
Dox-siFAK-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif	46	516
Dox-siFAK-h2ax-647-ku80-564-dapi-16_Out_Channel Alignment.czi_nucleo_0(10).tif	60	579
Dox-siFAK-h2ax-647-ku80-564-dapi-16_Out_Channel Alignment.czi_nucleo_1(10).tif	21	408
Dox-siFAK-h2ax-647-ku80-564-dapi-17_Out_Channel Alignment.czi_nucleo_0(14).tif	45	404
Dox-siFAK-h2ax-647-ku80-564-dapi-17_Out_Channel Alignment.czi_nucleo_1(14).tif	80	375
Dox-siFAK-h2ax-647-ku80-564-dapi-17_Out_Channel Alignment.czi_nucleo_2(14).tif	25	387
