n_original,dia,tto,tto_numero,Label,area,int_fak,int_dnapk,int_gammah2ax,fak_bc_mean,dnapk_b_meanc,gammah2ax_bc_mean,ctcf_fak,ctcf_fak_bar,ctcf_dnapk,ctcf_dnapk_bar,ctcf_gammah2ax,ctcf_gammah2ax_bar
74,dia 1,controle,14,(11)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment-1.czifak:nucleo2,299.117,1904258.816,708437.437,171966.629,260.3506667,286.174,15.009,1826383.506,1826383.506,622837.9286,622837.9286,167477.1819,167477.1819
75,dia 1,controle,15,(11)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment-1.czifak:nucleo3,250.054,1379059.677,653790.383,74134.475,260.3506667,286.174,15.009,1313957.951,1313957.951,582231.4296,582231.4296,70381.41451,70381.41451
93,dia 1,controle,16,(10)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment-1.czifak:nucleo1,285.771,1970854.834,792859.182,468292.236,1121.677333,846.191,162.483,1650311.981,1650311.981,551042.3337,551042.3337,421859.3066,421859.3066
94,dia 1,controle,17,(10)d1-ct-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment-1.czifak:nucleo3,360.324,1979641.683,899716.301,399222.021,1121.677333,846.191,162.483,1575474.42,1575474.42,594813.3751,594813.3751,340675.4965,340675.4965
108,dia 1,doxo,1,(13)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment-1.czifak:nucleo0,209.95,1344632.08,2188154.291,573629.518,411.345,318.4826667,118.2296667,1258270.197,1258270.197,2121288.855,2121288.855,548807.1995,548807.1995
120,dia 1,doxo,2,(14)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment-1.czifak:nucleo0,351.922,2129166.793,3209120.411,2192957.027,365.443,288.748,82.45266667,2000559.362,2000559.362,3107503.637,3107503.637,2163940.12,2163940.12
132,dia 1,doxo,3,(10)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment-1.czifak:nucleo0,312.328,2161521.344,2731421.671,2922586.206,362.5646667,316.8743333,101.6783333,2048282.247,2048282.247,2632452.944,2632452.944,2890829.216,2890829.216
133,dia 1,doxo,4,(10)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment-1.czifak:nucleo1,336.67,2179360.141,2490419.966,2535914.491,362.5646667,316.8743333,101.6783333,2057295.495,2057295.495,2383737.884,2383737.884,2501682.447,2501682.447
147,dia 1,doxo,5,(12)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment-1.czifak:nucleo1,461.731,747891.25,6548093.673,2990461.767,63.35766667,298.0746667,32.62566667,718637.0512,718637.0512,6410463.359,6410463.359,2975397.485,2975397.485
159,dia 1,doxo,6,(11)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment-1.czifak:nucleo0,236.8,1669247.167,1095997.118,1699887.586,545.9616667,261.5533333,209.2693333,1539963.444,1539963.444,1034061.289,1034061.289,1650332.608,1650332.608
160,dia 1,doxo,7,(11)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment-1.czifak:nucleo1,214.297,1435298.586,774257.531,2074727.51,545.9616667,261.5533333,209.2693333,1318300.639,1318300.639,718207.4363,718207.4363,2029881.72,2029881.72
174,dia 1,doxo,8,(16)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment-1.czifak:nucleo0,248.439,2085112.132,2577778.997,1021556.711,417.1423333,284.5786667,136.0783333,1981477.708,1981477.708,2507078.558,2507078.558,987749.5459,987749.5459
