Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto
Dox-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,32,11.5,0.359,4.618,255,91.637,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,59,31.075,0.527,11.579,255,134.308,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,63,34.375,0.546,10.442,255,139.136,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,58,25.422,0.438,11.32,255,111.77,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,19,15.353,0.808,5.649,255,206.055,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,63,36.624,0.581,9.677,255,148.242,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,28,11.53,0.412,3.844,255,105.002,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,65,31.511,0.485,11.848,255,123.62,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,34,12.668,0.373,4.542,255,95.01,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,69,36.184,0.524,9.784,255,133.722,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,65,23.392,0.36,7.743,255,91.768,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,64,25.402,0.397,10.971,255,101.213,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tifnucleo_0,47,17.711,0.377,8.013,255,96.091,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_3(11).tifnucleo_0,18,5.584,0.31,2.906,255,79.113,dox_sifak
