,Label,Area,Mean,Circ.,IntDen,Kurt,RawIntDen,AR,Round,tto,tto2,imgn,nucleon,roin
59,SUM_(12)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,5.655,19.641,0.0008,111.071,8.067,106845,1.328,0.753,sifak,CT-siFAK,09,0,0
60,SUM_(12)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,4.416,34.936,0.000808,154.28,2.458,148410,1.22,0.819,sifak,CT-siFAK,09,2,0
61,SUM_(12)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,4.06,24.873,0.000816,100.998,5.36,97155,1.016,0.984,sifak,CT-siFAK,09,2,1
62,SUM_(12)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_2-roi_2-1.tiff,2.541,24.311,0.000814,61.765,5.595,59415,1.106,0.904,sifak,CT-siFAK,09,2,2
63,SUM_(12)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_2-roi_3-1.tiff,2.853,18.307,0.000813,52.222,9.006,50235,1.143,0.875,sifak,CT-siFAK,09,2,3
64,SUM_(12)CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment-1.czinucleo_4-roi_0-1.tiff,2.292,21.048,0.000815,48.246,7.205,46410,1.089,0.918,sifak,CT-siFAK,09,4,0
65,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,3.2,27.173,0.000816,86.948,4.503,83640,1.056,0.947,sifak,CT-siFAK,01,0,0
66,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.917,46.801,0.0008,136.519,0.673,131325,1.326,0.754,sifak,CT-siFAK,01,0,1
67,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,3.275,30.276,0.000806,99.142,3.557,95370,1.26,0.794,sifak,CT-siFAK,01,2,0
68,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_1-1.tiff,2.954,30.417,0.000811,89.864,3.519,86445,1.184,0.845,sifak,CT-siFAK,01,2,1
69,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_2-1.tiff,2.573,31.63,0.000808,81.381,3.203,78285,1.222,0.818,sifak,CT-siFAK,01,2,2
70,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_3-1.tiff,3.361,29.183,0.000812,98.082,3.867,94350,1.151,0.869,sifak,CT-siFAK,01,2,3
71,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_4-1.tiff,2.649,16.013,0.000816,42.414,10.992,40800,1.061,0.942,sifak,CT-siFAK,01,2,4
72,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_5-1.tiff,2.703,20.89,0.000816,56.463,7.296,54315,1.04,0.962,sifak,CT-siFAK,01,2,5
73,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_6-1.tiff,2.345,19.328,0.000816,45.33,8.275,43605,1.021,0.979,sifak,CT-siFAK,01,2,6
74,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_7-1.tiff,2.757,13.558,0.000816,37.377,13.865,35955,1.02,0.981,sifak,CT-siFAK,01,2,7
75,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_2-roi_8-1.tiff,3.416,10.631,0.000812,36.317,19.029,34935,1.17,0.855,sifak,CT-siFAK,01,2,8
76,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_3-roi_0-1.tiff,2.751,21.105,0.000815,58.054,7.172,55845,1.102,0.907,sifak,CT-siFAK,01,3,0
77,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_3-roi_1-1.tiff,2.492,36.596,0.000815,91.189,2.136,87720,1.085,0.922,sifak,CT-siFAK,01,3,1
78,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_3-roi_2-1.tiff,2.547,12.49,0.000816,31.81,15.468,30600,1.02,0.98,sifak,CT-siFAK,01,3,2
79,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_3-roi_3-1.tiff,2.963,19.863,0.000813,58.849,7.922,56610,1.14,0.877,sifak,CT-siFAK,01,3,3
80,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_3-roi_4-1.tiff,2.944,23.861,0.000808,70.248,5.79,67575,1.229,0.814,sifak,CT-siFAK,01,3,4
